instance,p,n,configLB,configNodeSel,configOB,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,depth,noOB,1,30,1.58681,10980,0.274656,1.20218,0.0493644,1005,2,21,13.9304,319,60,124,0.0006061,0.0013988,1.56675,0.0001454,0.0037465,0.0001145
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,depth,coneOB,1,30,1.24687,8963,0.218318,0.941336,0.038479,937,2,21,13.6013,398,36,35,0.0009058,0.0010684,1.23046,0.0001854,0.0045748,9.12e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,depth,fullOB,1,30,1.26608,8825,0.226392,0.948018,0.0377606,997,2,21,13.3602,458,37,27,0.0009415,0.0011231,1.24638,0.0017651,0.0053096,8.06e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,breadth,noOB,1,30,1.80161,13076,0.30414,1.38101,0.0580326,1151,2,21,13.7361,357,56,163,0.0004698,0.0015113,1.7824,0.0001636,0.0039515,0.0001357
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,breadth,coneOB,1,30,1.48149,10408,0.245804,1.13189,0.0464513,1079,2,21,13.6056,455,36,49,0.0008706,0.0012436,1.46196,0.0001628,0.0045864,0.0001132
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,breadth,fullOB,1,30,1.40354,10346,0.236654,1.06689,0.0439249,1131,2,21,13.5111,507,36,42,0.0008312,0.0012254,1.38461,0.0008911,0.0042118,0.0001106
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,WLP,depth,noOB,1,30,1.03962,7145,0.0023957,0.909802,0.0570113,1005,2,21,13.9304,319,60,124,0.0007717,0.0014276,1.00413,0.0001456,0.0199863,9.38e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,WLP,depth,coneOB,1,30,0.902555,6097,0.0026373,0.786359,0.0465637,937,2,21,13.6013,398,36,35,0.0008795,0.0011304,0.865066,0.0001912,0.0208505,9.63e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,WLP,depth,fullOB,1,30,0.924244,6080,0.0038807,0.803435,0.0481866,997,2,21,13.3602,458,37,27,0.0009415,0.0011098,0.885911,0.0015971,0.0210258,8.85e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,WLP,breadth,noOB,1,30,1.19077,8527,0.0035807,1.04658,0.0671658,1151,2,21,13.7361,357,56,163,0.0005385,0.0013243,1.15087,0.0001494,0.0228029,0.0001407
